TIME,GEO_NAME,GEO,GREEN_POL,SRC_CRF,THOUSAND_TONNES
2010,CY,Cyprus,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)",-398.11
2010,CY,Cyprus,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)",-399.63
2010,CY,Cyprus,Methane,"Land use, land use change, and forestry (LULUCF)",0.05
2010,CY,Cyprus,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",1.13
2010,CY,Cyprus,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0
2010,CY,Cyprus,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",0.39
2010,CY,Cyprus,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CY,Cyprus,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CY,Cyprus,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CY,Cyprus,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CY,Cyprus,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CZ,Czechia,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,557.92"
2010,CZ,Czechia,Carbon dioxide,Agriculture,222.84
2010,CZ,Czechia,Methane,Agriculture,139.8
2010,CZ,Czechia,Methane (CO2 equivalent),Agriculture,"3,495.12"
2010,CZ,Czechia,Nitrous oxide,Agriculture,12.89
2010,CZ,Czechia,Nitrous oxide (CO2 equivalent),Agriculture,"3,839.96"
2010,CZ,Czechia,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,CZ,Czechia,Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,CZ,Czechia,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,CZ,Czechia,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,CZ,Czechia,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2010,CZ,Czechia,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-7,409.86"
2010,CZ,Czechia,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-7,505.58"
2010,CZ,Czechia,Methane,"Land use, land use change, and forestry (LULUCF)",2.17
2010,CZ,Czechia,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",54.27
2010,CZ,Czechia,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.14
2010,CZ,Czechia,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",41.45
2010,CZ,Czechia,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CZ,Czechia,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CZ,Czechia,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CZ,Czechia,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CZ,Czechia,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DE,Germany (until 1990 former territory of the FRG),"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"63,162.20"
2010,DE,Germany (until 1990 former territory of the FRG),Carbon dioxide,Agriculture,"2,516.99"
2010,DE,Germany (until 1990 former territory of the FRG),Methane,Agriculture,"1,263.11"
2010,DE,Germany (until 1990 former territory of the FRG),Methane (CO2 equivalent),Agriculture,"31,577.85"
2010,DE,Germany (until 1990 former territory of the FRG),Nitrous oxide,Agriculture,97.54
2010,DE,Germany (until 1990 former territory of the FRG),Nitrous oxide (CO2 equivalent),Agriculture,"29,067.36"
2010,DE,Germany (until 1990 former territory of the FRG),Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,DE,Germany (until 1990 former territory of the FRG),Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,DE,Germany (until 1990 former territory of the FRG),Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,DE,Germany (until 1990 former territory of the FRG),Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,DE,Germany (until 1990 former territory of the FRG),Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2010,DE,Germany (until 1990 former territory of the FRG),"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-9,797.31"
2010,DE,Germany (until 1990 former territory of the FRG),Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-12,837.56"
2010,DE,Germany (until 1990 former territory of the FRG),Methane,"Land use, land use change, and forestry (LULUCF)",71.87
2010,DE,Germany (until 1990 former territory of the FRG),Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)","1,796.66"
2010,DE,Germany (until 1990 former territory of the FRG),Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",4.17
2010,DE,Germany (until 1990 former territory of the FRG),Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)","1,243.59"
2010,DE,Germany (until 1990 former territory of the FRG),Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DE,Germany (until 1990 former territory of the FRG),Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DE,Germany (until 1990 former territory of the FRG),Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DE,Germany (until 1990 former territory of the FRG),Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DE,Germany (until 1990 former territory of the FRG),Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,DK,Denmark,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"10,825.02"
2010,DK,Denmark,Carbon dioxide,Agriculture,156.19
2010,DK,Denmark,Methane,Agriculture,238.59
2010,DK,Denmark,Methane (CO2 equivalent),Agriculture,"5,964.75"
2010,DK,Denmark,Nitrous oxide,Agriculture,15.79
2010,DK,Denmark,Nitrous oxide (CO2 equivalent),Agriculture,"4,704.08"
2010,DK,Denmark,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
