TIME,GEO_NAME,GEO,GREEN_POL,SRC_CRF,THOUSAND_TONNES,AIRPOL,AIRPOL_VALUE
2010,CY,Cyprus,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,CY,Cyprus,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,CY,Cyprus,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)",-398.11,Null,Null
2010,CY,Cyprus,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)",-399.63,Null,Null
2010,CY,Cyprus,Methane,"Land use, land use change, and forestry (LULUCF)",0.05,Null,Null
2010,CY,Cyprus,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",1.13,Null,Null
2010,CY,Cyprus,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0,Null,Null
2010,CY,Cyprus,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",0.39,Null,Null
2010,CY,Cyprus,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CY,Cyprus,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CY,Cyprus,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CY,Cyprus,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CY,Cyprus,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CZ,Czechia,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,557.92",Null,Null
2010,CZ,Czechia,Null,Null,Null,Nitrogen oxides,"248,030"
2010,CZ,Czechia,Carbon dioxide,Agriculture,222.84,Null,Null
2010,CZ,Czechia,Null,Null,Null,Sulphur oxides,"163,850"
2010,CZ,Czechia,Methane,Agriculture,139.8,Null,Null
2010,CZ,Czechia,Null,Null,Null,Ammonia,"91,470"
2010,CZ,Czechia,Methane (CO2 equivalent),Agriculture,"3,495.12",Null,Null
2010,CZ,Czechia,Null,Null,Null,Particulates < 2.5µm,"45,020"
2010,CZ,Czechia,Nitrous oxide,Agriculture,12.89,Null,Null
2010,CZ,Czechia,Null,Null,Null,Particulates < 10µm,"57,510"
2010,CZ,Czechia,Nitrous oxide (CO2 equivalent),Agriculture,"3,839.96",Null,Null
2010,CZ,Czechia,Null,Null,Null,Non-methane volatile organic compounds,"254,600"
2010,CZ,Czechia,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,CZ,Czechia,Perfluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,CZ,Czechia,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,Null,Null
2010,CZ,Czechia,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,CZ,Czechia,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,CZ,Czechia,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-7,409.86",Null,Null
2010,CZ,Czechia,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-7,505.58",Null,Null
2010,CZ,Czechia,Methane,"Land use, land use change, and forestry (LULUCF)",2.17,Null,Null
2010,CZ,Czechia,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",54.27,Null,Null
2010,CZ,Czechia,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.14,Null,Null
2010,CZ,Czechia,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",41.45,Null,Null
2010,CZ,Czechia,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CZ,Czechia,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CZ,Czechia,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CZ,Czechia,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CZ,Czechia,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"63,162.20",Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Null,Null,Null,Nitrogen oxides,"1,470,970"
2010,DE,Germany (until 1990 former territory of the FRG),Carbon dioxide,Agriculture,"2,516.99",Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Null,Null,Null,Sulphur oxides,"405,400"
2010,DE,Germany (until 1990 former territory of the FRG),Methane,Agriculture,"1,263.11",Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Null,Null,Null,Ammonia,"618,910"
2010,DE,Germany (until 1990 former territory of the FRG),Methane (CO2 equivalent),Agriculture,"31,577.85",Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Null,Null,Null,Particulates < 2.5µm,"119,740"
2010,DE,Germany (until 1990 former territory of the FRG),Nitrous oxide,Agriculture,97.54,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Null,Null,Null,Particulates < 10µm,"227,770"
2010,DE,Germany (until 1990 former territory of the FRG),Nitrous oxide (CO2 equivalent),Agriculture,"29,067.36",Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Null,Null,Null,Non-methane volatile organic compounds,"1,361,410"
2010,DE,Germany (until 1990 former territory of the FRG),Hydrofluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Perfluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Sulphur hexafluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Nitrogen trifluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-9,797.31",Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-12,837.56",Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Methane,"Land use, land use change, and forestry (LULUCF)",71.87,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)","1,796.66",Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",4.17,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)","1,243.59",Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DE,Germany (until 1990 former territory of the FRG),Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,DK,Denmark,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"10,825.02",Null,Null
2010,DK,Denmark,Null,Null,Null,Nitrogen oxides,"149,680"
2010,DK,Denmark,Carbon dioxide,Agriculture,156.19,Null,Null
2010,DK,Denmark,Null,Null,Null,Sulphur oxides,"15,440"
2010,DK,Denmark,Methane,Agriculture,238.59,Null,Null
2010,DK,Denmark,Null,Null,Null,Ammonia,"80,740"
2010,DK,Denmark,Methane (CO2 equivalent),Agriculture,"5,964.75",Null,Null
2010,DK,Denmark,Null,Null,Null,Particulates < 2.5µm,"21,270"
2010,DK,Denmark,Nitrous oxide,Agriculture,15.79,Null,Null
2010,DK,Denmark,Null,Null,Null,Particulates < 10µm,"32,690"
2010,DK,Denmark,Nitrous oxide (CO2 equivalent),Agriculture,"4,704.08",Null,Null
2010,DK,Denmark,Null,Null,Null,Non-methane volatile organic compounds,"131,160"
2010,DK,Denmark,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,DK,Denmark,Perfluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,DK,Denmark,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,Null,Null
2010,DK,Denmark,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,DK,Denmark,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,Null,Null
